"chan1_id","sales2_id","sales1_id","dma1_id"
"Mobil Oil - Display","Mobil","Oil","National"
"Mobil Oil - Radio","Mobil","Oil","National"
"Mobil Oil - Search","Mobil","Oil","National"
"Mobil Oil - Social","Mobil","Oil","National"
"OOH","AAP","Batteries","National"
"OOH","AAP","Other","National"
"Pennzoil Oil - Direct Mail","Pennzoil","Oil","National"
"Pennzoil Oil - Display","Pennzoil","Oil","National"
"Pennzoil Oil - Radio","Pennzoil","Oil","National"
"Pennzoil Oil - Search","Pennzoil","Oil","National"
"Pennzoil Oil - Social","Pennzoil","Oil","National"
"Radio - Batteries","AAP","Batteries","National"
"Radio - Batteries","AAP","Parts","National"
"Social","AAP","Oil","National"
"TV-GM","AAP","Batteries","National"
"TV-GM","AAP","Brakes","National"
"TV-GM","AAP","Oil","National"
"TV-GM","AAP","Other","National"
"TV-GM","AAP","Parts","National"
"TV-Hispanic","AAP","Batteries","National"
"TV-Hispanic","AAP","Brakes","National"
"TV-Hispanic","AAP","Oil","National"
"TV-Hispanic","AAP","Other","National"
"TV-Hispanic","AAP","Parts","National"
"Terrestial Radio-NSO","AAP","Brakes","National"
"Terrestial Radio-NSO","AAP","Oil","National"
"Terrestial Radio-NSO","AAP","Parts","National"
"Terrestial Radio-Speed Perk","AAP","Batteries","ALBUQUERQUE/SANTA FE-NM"
"Terrestial Radio-Speed Perk","AAP","Batteries","ATLANTA-GA"
"Terrestial Radio-Speed Perk","AAP","Batteries","AUSTIN-TX"
"Terrestial Radio-Speed Perk","AAP","Batteries","BALTIMORE-MD"
"Terrestial Radio-Speed Perk","AAP","Batteries","BIRMINGHAM-AL"
"Terrestial Radio-Speed Perk","AAP","Batteries","BOSTON-MA"
"Terrestial Radio-Speed Perk","AAP","Batteries","CHARLOTTE-NC"
"Terrestial Radio-Speed Perk","AAP","Batteries","CHICAGO-IL"
"Terrestial Radio-Speed Perk","AAP","Batteries","DALLAS-TX"
"Terrestial Radio-Speed Perk","AAP","Batteries","DENVER-CO"
"Terrestial Radio-Speed Perk","AAP","Batteries","DETROIT-MI"
"Terrestial Radio-Speed Perk","AAP","Batteries","HARRISBURG/LANCASTER-PA"
"Terrestial Radio-Speed Perk","AAP","Batteries","HOUSTON-TX"
"Terrestial Radio-Speed Perk","AAP","Batteries","INDIANAPOLIS-IN"
"Terrestial Radio-Speed Perk","AAP","Batteries","MIAMI/FT. LAUDERDALE-FL"
"Terrestial Radio-Speed Perk","AAP","Batteries","MILWAUKEE-WI"
"Terrestial Radio-Speed Perk","AAP","Batteries","NEW HAVEN/HARTFORD-CT"
"Terrestial Radio-Speed Perk","AAP","Batteries","National"
"Terrestial Radio-Speed Perk","AAP","Batteries","ORLANDO/DAYTONA/MELBOURNE-FL"
"Terrestial Radio-Speed Perk","AAP","Batteries","PHILADELPHIA-PA"
"Terrestial Radio-Speed Perk","AAP","Batteries","PITTSBURGH-PA"
"Terrestial Radio-Speed Perk","AAP","Batteries","PORTLAND-OR"
"Terrestial Radio-Speed Perk","AAP","Batteries","RALEIGH-NC"
"Terrestial Radio-Speed Perk","AAP","Batteries","SALT LAKE CITY-UT"
"Terrestial Radio-Speed Perk","AAP","Batteries","SAN ANTONIO-TX"
"Terrestial Radio-Speed Perk","AAP","Batteries","SEATTLE-WA"
"Terrestial Radio-Speed Perk","AAP","Batteries","ST. LOUIS-MO"
"Terrestial Radio-Speed Perk","AAP","Batteries","TAMPA/ST. PETE/LAKELAND-FL"
"Terrestial Radio-Speed Perk","AAP","Batteries","TRI-STATE-NY/NJ/CT"
"Terrestial Radio-Speed Perk","AAP","Batteries","WASHINGTON D.C."
"Terrestial Radio-Speed Perk","AAP","Brakes","ALBUQUERQUE/SANTA FE-NM"
"Terrestial Radio-Speed Perk","AAP","Brakes","ATLANTA-GA"
"Terrestial Radio-Speed Perk","AAP","Brakes","AUSTIN-TX"
"Terrestial Radio-Speed Perk","AAP","Brakes","BALTIMORE-MD"
"Terrestial Radio-Speed Perk","AAP","Brakes","BIRMINGHAM-AL"
"Terrestial Radio-Speed Perk","AAP","Brakes","BOSTON-MA"
"Terrestial Radio-Speed Perk","AAP","Brakes","CHARLOTTE-NC"
"Terrestial Radio-Speed Perk","AAP","Brakes","CHICAGO-IL"
"Terrestial Radio-Speed Perk","AAP","Brakes","DALLAS-TX"
"Terrestial Radio-Speed Perk","AAP","Brakes","DENVER-CO"
"Terrestial Radio-Speed Perk","AAP","Brakes","DETROIT-MI"
"Terrestial Radio-Speed Perk","AAP","Brakes","HARRISBURG/LANCASTER-PA"
"Terrestial Radio-Speed Perk","AAP","Brakes","HOUSTON-TX"
"Terrestial Radio-Speed Perk","AAP","Brakes","INDIANAPOLIS-IN"
"Terrestial Radio-Speed Perk","AAP","Brakes","MIAMI/FT. LAUDERDALE-FL"
"Terrestial Radio-Speed Perk","AAP","Brakes","MILWAUKEE-WI"
