"bdgt_id","dma1_name","chan1_name","client_id","chan1_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"183_1_50",NULL,NULL,25,183,1,50,NULL,NULL,NULL
"183_1_51",NULL,NULL,25,183,1,51,NULL,NULL,NULL
"183_1_52",NULL,NULL,25,183,1,52,NULL,NULL,NULL
"183_1_53",NULL,NULL,25,183,1,53,NULL,NULL,NULL
"183_1_6",NULL,NULL,25,183,1,6,NULL,NULL,NULL
"183_1_7",NULL,NULL,25,183,1,7,NULL,NULL,NULL
"183_1_8",NULL,NULL,25,183,1,8,NULL,NULL,NULL
"183_1_9",NULL,NULL,25,183,1,9,NULL,NULL,NULL
"185_1_0",NULL,NULL,25,185,1,0,NULL,NULL,NULL
"185_1_1",NULL,NULL,25,185,1,1,NULL,NULL,NULL
"185_1_10",NULL,NULL,25,185,1,10,NULL,NULL,NULL
"185_1_11",NULL,NULL,25,185,1,11,NULL,NULL,NULL
"185_1_12",NULL,NULL,25,185,1,12,NULL,NULL,NULL
"185_1_13",NULL,NULL,25,185,1,13,NULL,NULL,NULL
"185_1_14",NULL,NULL,25,185,1,14,NULL,NULL,NULL
"185_1_15",NULL,NULL,25,185,1,15,NULL,NULL,NULL
"185_1_16",NULL,NULL,25,185,1,16,NULL,NULL,NULL
"185_1_17",NULL,NULL,25,185,1,17,NULL,NULL,NULL
"185_1_18",NULL,NULL,25,185,1,18,NULL,NULL,NULL
"185_1_19",NULL,NULL,25,185,1,19,NULL,NULL,NULL
"185_1_2",NULL,NULL,25,185,1,2,NULL,NULL,NULL
"185_1_20",NULL,NULL,25,185,1,20,NULL,NULL,NULL
"185_1_21",NULL,NULL,25,185,1,21,NULL,NULL,NULL
"185_1_22",NULL,NULL,25,185,1,22,NULL,NULL,NULL
"185_1_23",NULL,NULL,25,185,1,23,NULL,NULL,NULL
"185_1_24",NULL,NULL,25,185,1,24,NULL,NULL,NULL
"185_1_25",NULL,NULL,25,185,1,25,NULL,NULL,NULL
"185_1_26",NULL,NULL,25,185,1,26,NULL,NULL,NULL
"185_1_27",NULL,NULL,25,185,1,27,NULL,NULL,NULL
"185_1_28",NULL,NULL,25,185,1,28,NULL,NULL,NULL
"185_1_29",NULL,NULL,25,185,1,29,NULL,NULL,NULL
"185_1_3",NULL,NULL,25,185,1,3,NULL,NULL,NULL
"185_1_30",NULL,NULL,25,185,1,30,NULL,NULL,NULL
"185_1_31",NULL,NULL,25,185,1,31,NULL,NULL,NULL
"185_1_32",NULL,NULL,25,185,1,32,NULL,NULL,NULL
"185_1_33",NULL,NULL,25,185,1,33,NULL,NULL,NULL
"185_1_34",NULL,NULL,25,185,1,34,NULL,NULL,NULL
"185_1_35",NULL,NULL,25,185,1,35,NULL,NULL,NULL
"185_1_36",NULL,NULL,25,185,1,36,NULL,NULL,NULL
"185_1_37",NULL,NULL,25,185,1,37,NULL,NULL,NULL
"185_1_38",NULL,NULL,25,185,1,38,NULL,NULL,NULL
"185_1_39",NULL,NULL,25,185,1,39,NULL,NULL,NULL
"185_1_4",NULL,NULL,25,185,1,4,NULL,NULL,NULL
"185_1_40",NULL,NULL,25,185,1,40,NULL,NULL,NULL
"185_1_41",NULL,NULL,25,185,1,41,NULL,NULL,NULL
"185_1_42",NULL,NULL,25,185,1,42,NULL,NULL,NULL
"185_1_43",NULL,NULL,25,185,1,43,NULL,NULL,NULL
"185_1_44",NULL,NULL,25,185,1,44,NULL,NULL,NULL
"185_1_45",NULL,NULL,25,185,1,45,NULL,NULL,NULL
"185_1_46",NULL,NULL,25,185,1,46,NULL,NULL,NULL
"185_1_47",NULL,NULL,25,185,1,47,NULL,NULL,NULL
"185_1_48",NULL,NULL,25,185,1,48,NULL,NULL,NULL
"185_1_49",NULL,NULL,25,185,1,49,NULL,NULL,NULL
"185_1_5",NULL,NULL,25,185,1,5,NULL,NULL,NULL
"185_1_50",NULL,NULL,25,185,1,50,NULL,NULL,NULL
"185_1_51",NULL,NULL,25,185,1,51,NULL,NULL,NULL
"185_1_52",NULL,NULL,25,185,1,52,NULL,NULL,NULL
"185_1_53",NULL,NULL,25,185,1,53,NULL,NULL,NULL
"185_1_6",NULL,NULL,25,185,1,6,NULL,NULL,NULL
"185_1_7",NULL,NULL,25,185,1,7,NULL,NULL,NULL
"185_1_8",NULL,NULL,25,185,1,8,NULL,NULL,NULL
"185_1_9",NULL,NULL,25,185,1,9,NULL,NULL,NULL
"187_1_0",NULL,NULL,25,187,1,0,NULL,NULL,NULL
"187_1_1",NULL,NULL,25,187,1,1,NULL,NULL,NULL
"187_1_10",NULL,NULL,25,187,1,10,NULL,NULL,NULL
"187_1_11",NULL,NULL,25,187,1,11,NULL,NULL,NULL
"187_1_12",NULL,NULL,25,187,1,12,NULL,NULL,NULL
"187_1_13",NULL,NULL,25,187,1,13,NULL,NULL,NULL
"187_1_14",NULL,NULL,25,187,1,14,NULL,NULL,NULL
"187_1_15",NULL,NULL,25,187,1,15,NULL,NULL,NULL
"187_1_16",NULL,NULL,25,187,1,16,NULL,NULL,NULL
"187_1_17",NULL,NULL,25,187,1,17,NULL,NULL,NULL
"187_1_18",NULL,NULL,25,187,1,18,NULL,NULL,NULL
"187_1_19",NULL,NULL,25,187,1,19,NULL,NULL,NULL
"187_1_2",NULL,NULL,25,187,1,2,NULL,NULL,NULL
"187_1_20",NULL,NULL,25,187,1,20,NULL,NULL,NULL
"187_1_21",NULL,NULL,25,187,1,21,NULL,NULL,NULL
"187_1_22",NULL,NULL,25,187,1,22,NULL,NULL,NULL
"187_1_23",NULL,NULL,25,187,1,23,NULL,NULL,NULL
"187_1_24",NULL,NULL,25,187,1,24,NULL,NULL,NULL
"187_1_25",NULL,NULL,25,187,1,25,NULL,NULL,NULL
"187_1_26",NULL,NULL,25,187,1,26,NULL,NULL,NULL
"187_1_27",NULL,NULL,25,187,1,27,NULL,NULL,NULL
"187_1_28",NULL,NULL,25,187,1,28,NULL,NULL,NULL
"187_1_29",NULL,NULL,25,187,1,29,NULL,NULL,NULL
"187_1_3",NULL,NULL,25,187,1,3,NULL,NULL,NULL
"187_1_30",NULL,NULL,25,187,1,30,NULL,NULL,NULL
"187_1_31",NULL,NULL,25,187,1,31,NULL,NULL,NULL
"187_1_32",NULL,NULL,25,187,1,32,NULL,NULL,NULL
"187_1_33",NULL,NULL,25,187,1,33,NULL,NULL,NULL
"187_1_34",NULL,NULL,25,187,1,34,NULL,NULL,NULL
"187_1_35",NULL,NULL,25,187,1,35,NULL,NULL,NULL
"187_1_36",NULL,NULL,25,187,1,36,NULL,NULL,NULL
"187_1_37",NULL,NULL,25,187,1,37,NULL,NULL,NULL
"187_1_38",NULL,NULL,25,187,1,38,NULL,NULL,NULL
"187_1_39",NULL,NULL,25,187,1,39,NULL,NULL,NULL
"187_1_4",NULL,NULL,25,187,1,4,NULL,NULL,NULL
"187_1_40",NULL,NULL,25,187,1,40,NULL,NULL,NULL
"187_1_41",NULL,NULL,25,187,1,41,NULL,NULL,NULL
"187_1_42",NULL,NULL,25,187,1,42,NULL,NULL,NULL
"187_1_43",NULL,NULL,25,187,1,43,NULL,NULL,NULL
"187_1_44",NULL,NULL,25,187,1,44,NULL,NULL,NULL
"187_1_45",NULL,NULL,25,187,1,45,NULL,NULL,NULL
"187_1_46",NULL,NULL,25,187,1,46,NULL,NULL,NULL
"187_1_47",NULL,NULL,25,187,1,47,NULL,NULL,NULL
"187_1_48",NULL,NULL,25,187,1,48,NULL,NULL,NULL
"187_1_49",NULL,NULL,25,187,1,49,NULL,NULL,NULL
"187_1_5",NULL,NULL,25,187,1,5,NULL,NULL,NULL
"187_1_50",NULL,NULL,25,187,1,50,NULL,NULL,NULL
"187_1_51",NULL,NULL,25,187,1,51,NULL,NULL,NULL
"187_1_52",NULL,NULL,25,187,1,52,NULL,NULL,NULL
"187_1_53",NULL,NULL,25,187,1,53,NULL,NULL,NULL
"187_1_6",NULL,NULL,25,187,1,6,NULL,NULL,NULL
"187_1_7",NULL,NULL,25,187,1,7,NULL,NULL,NULL
