all_name,dma1_name,sales1_name,sales2_name,chan1_name,max,cpp,hl,hrf,wks, beta ,curvegroup_name
overall,BOSTON-MA,Other,AAP,Terrestial Radio-Speed Perk,200,222.3681713,4,0.15,1,20379,weekly
overall,CHARLOTTE-NC,Other,AAP,Terrestial Radio-Speed Perk,200,83.06571429,4,0.15,1,18038,weekly
overall,CHICAGO-IL,Other,AAP,Terrestial Radio-Speed Perk,200,272.0589744,4,0.15,1,21365,weekly
overall,DALLAS-TX,Other,AAP,Terrestial Radio-Speed Perk,200,236.9065687,4,0.15,1,9457,weekly
overall,DENVER-CO,Other,AAP,Terrestial Radio-Speed Perk,200,99.83121951,4,0.15,1,13394,weekly
overall,DETROIT-MI,Other,AAP,Terrestial Radio-Speed Perk,200,89.16236559,4,0.15,1,7871,weekly
overall,HARRISBURG/LANCASTER-PA,Other,AAP,Terrestial Radio-Speed Perk,200,55.68024801,4,0.15,1,12333,weekly
overall,NEW HAVEN/HARTFORD-CT,Other,AAP,Terrestial Radio-Speed Perk,200,69.35301205,4,0.15,1,12470,weekly
overall,HOUSTON-TX,Other,AAP,Terrestial Radio-Speed Perk,200,220.378655,4,0.15,1,14416,weekly
overall,INDIANAPOLIS-IN,Other,AAP,Terrestial Radio-Speed Perk,200,87.63803681,4,0.15,1,6829,weekly
overall,MIAMI/FT. LAUDERDALE-FL,Other,AAP,Terrestial Radio-Speed Perk,200,160.4176656,4,0.15,1,36641,weekly
overall,MILWAUKEE-WI,Other,AAP,Terrestial Radio-Speed Perk,200,84.58924731,4,0.15,1,6698,weekly
overall,TRI-STATE-NY/NJ/CT,Other,AAP,Terrestial Radio-Speed Perk,200,345.9797101,4,0.15,1,44126,weekly
overall,ORLANDO/DAYTONA/MELBOURNE-FL,Other,AAP,Terrestial Radio-Speed Perk,200,86.876,4,0.15,1,27054,weekly
overall,PHILADELPHIA-PA,Other,AAP,Terrestial Radio-Speed Perk,200,153.3914591,4,0.15,1,26435,weekly
overall,PITTSBURGH-PA,Other,AAP,Terrestial Radio-Speed Perk,200,50.29666667,4,0.15,1,18758,weekly
overall,PORTLAND-OR,Other,AAP,Terrestial Radio-Speed Perk,200,97.79054498,4,0.15,1,1891,weekly
overall,RALEIGH-NC,Other,AAP,Terrestial Radio-Speed Perk,200,56.72316951,4,0.15,1,17176,weekly
overall,SALT LAKE CITY-UT,Other,AAP,Terrestial Radio-Speed Perk,200,65.61376344,4,0.15,1,1891,weekly
